frame,track_id,keypoint_index,x,y
0,1,0,0,0
0,1,1,0,0
0,1,2,0,0
0,1,3,0,0
0,1,4,0,0
0,1,5,0,0
0,1,6,0,0
0,1,7,0,0
0,1,8,0,0
0,1,9,0,0
0,1,10,0,0
0,1,11,0,0
0,1,12,0,0
0,1,13,0,0
0,1,14,0,0
0,1,15,0,0
0,1,16,0,0
0,3,0,0,0
0,3,1,0,0
0,3,2,0,0
0,3,3,0,0
0,3,4,0,0
0,3,5,0,0
0,3,6,0,0
0,3,7,0,0
0,3,8,0,0
0,3,9,0,0
0,3,10,0,0
0,3,11,0,0
0,3,12,0,0
0,3,13,0,0
0,3,14,0,0
0,3,15,0,0
0,3,16,0,0
1,1,0,118.44390869140625,256.365966796875
1,1,1,118.60475158691406,256.1828918457031
1,1,2,118.55062866210938,256.076171875
1,1,3,118.11831665039062,255.98956298828125
1,1,4,118.11573791503906,255.74789428710938
1,1,5,117.02845764160156,256.3601989746094
1,1,6,116.64772033691406,256.13134765625
1,1,7,116.07125091552734,257.4853820800781
1,1,8,115.32843017578125,257.04693603515625
1,1,9,115.98274230957031,258.2507629394531
1,1,10,115.55149841308594,257.923095703125
1,1,11,114.43434143066406,258.1693115234375
1,1,12,114.10302734375,258.04022216796875
1,1,13,114.1108627319336,260.685791015625
1,1,14,113.5716552734375,260.607666015625
1,1,15,113.4019775390625,263.0091552734375
1,1,16,112.58206176757812,263.0585021972656
1,3,0,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,6,0,0
1,3,7,0,0
1,3,8,0,0
1,3,9,0,0
1,3,10,0,0
1,3,11,0,0
1,3,12,0,0
1,3,13,0,0
1,3,14,0,0
1,3,15,0,0
1,3,16,0,0
2,3,0,0,0
2,3,1,0,0
2,3,2,0,0
2,3,3,0,0
2,3,4,0,0
2,3,5,0,0
2,3,6,0,0
2,3,7,0,0
2,3,8,0,0
2,3,9,0,0
2,3,10,0,0
2,3,11,0,0
2,3,12,0,0
2,3,13,0,0
2,3,14,0,0
2,3,15,0,0
2,3,16,0,0
3,1,0,0,0
3,1,1,0,0
3,1,2,0,0
3,1,3,0,0
3,1,4,0,0
3,1,5,0,0
3,1,6,0,0
3,1,7,0,0
3,1,8,0,0
3,1,9,0,0
3,1,10,0,0
3,1,11,0,0
3,1,12,0,0
3,1,13,0,0
3,1,14,0,0
3,1,15,0,0
3,1,16,0,0
5,1,0,0,0
5,1,1,0,0
5,1,2,0,0
5,1,3,0,0
5,1,4,0,0
5,1,5,0,0
5,1,6,0,0
5,1,7,0,0
5,1,8,0,0
5,1,9,0,0
5,1,10,0,0
5,1,11,0,0
5,1,12,0,0
5,1,13,0,0
5,1,14,0,0
5,1,15,0,0
5,1,16,0,0
5,3,0,0,0
5,3,1,0,0
5,3,2,0,0
5,3,3,0,0
5,3,4,0,0
5,3,5,0,0
5,3,6,0,0
5,3,7,0,0
5,3,8,0,0
5,3,9,0,0
5,3,10,0,0
5,3,11,0,0
5,3,12,0,0
5,3,13,0,0
5,3,14,0,0
5,3,15,0,0
5,3,16,0,0
6,1,0,143.86541748046875,213.70912170410156
6,1,1,144.5724334716797,212.88665771484375
6,1,2,143.44944763183594,212.88975524902344
6,1,3,145.8906707763672,213.32289123535156
6,1,4,143.08126831054688,213.32620239257812
6,1,5,148.2045440673828,218.9970245361328
6,1,6,140.67977905273438,218.9239044189453
6,1,7,148.7951202392578,226.29638671875
6,1,8,138.6304931640625,226.21144104003906
6,1,9,146.1851806640625,230.59579467773438
6,1,10,138.88467407226562,231.81283569335938
6,1,11,146.15386962890625,233.3031005859375
6,1,12,141.38363647460938,233.16241455078125
6,1,13,146.0803985595703,243.48167419433594
6,1,14,141.48170471191406,242.98077392578125
6,1,15,146.86727905273438,252.47341918945312
6,1,16,142.83226013183594,252.06826782226562
7,1,0,142.13742065429688,214.5324249267578
7,1,1,143.0087432861328,213.65768432617188
7,1,2,141.5902557373047,213.66612243652344
7,1,3,144.64576721191406,213.63418579101562
7,1,4,140.94349670410156,213.64837646484375
7,1,5,146.41412353515625,218.22470092773438
7,1,6,138.72474670410156,218.1031036376953
