frame,track_id,keypoint_index,x,y
0,1,0,0,0
0,1,1,0,0
0,1,2,0,0
0,1,3,0,0
0,1,4,0,0
0,1,5,0,0
0,1,6,0,0
0,1,7,0,0
0,1,8,0,0
0,1,9,0,0
0,1,10,0,0
0,1,11,0,0
0,1,12,0,0
0,1,13,0,0
0,1,14,0,0
0,1,15,0,0
0,1,16,0,0
0,2,0,251.90582275390625,58.13703155517578
0,2,1,252.02708435058594,57.368797302246094
0,2,2,252.32559204101562,57.23359680175781
0,2,3,249.81422424316406,57.80931854248047
0,2,4,253.31280517578125,57.77813720703125
0,2,5,248.07122802734375,62.70984649658203
0,2,6,253.2262420654297,63.239036560058594
0,2,7,245.69000244140625,69.53730010986328
0,2,8,250.652587890625,70.29203033447266
0,2,9,247.38768005371094,75.06010437011719
0,2,10,248.0945281982422,75.89205932617188
0,2,11,248.28375244140625,76.85893249511719
0,2,12,251.75389099121094,76.9234390258789
0,2,13,249.25421142578125,87.55859375
0,2,14,251.0035858154297,87.31793212890625
0,2,15,250.07054138183594,97.06731414794922
0,2,16,249.61561584472656,96.91389465332031
0,3,0,0,0
0,3,1,0,0
0,3,2,0,0
0,3,3,0,0
0,3,4,0,0
0,3,5,0,0
0,3,6,0,0
0,3,7,0,0
0,3,8,0,0
0,3,9,0,0
0,3,10,0,0
0,3,11,0,0
0,3,12,0,0
0,3,13,0,0
0,3,14,0,0
0,3,15,0,0
0,3,16,0,0
0,4,0,0,0
0,4,1,0,0
0,4,2,0,0
0,4,3,0,0
0,4,4,0,0
0,4,5,0,0
0,4,6,0,0
0,4,7,0,0
0,4,8,0,0
0,4,9,0,0
0,4,10,0,0
0,4,11,0,0
0,4,12,0,0
0,4,13,0,0
0,4,14,0,0
0,4,15,0,0
0,4,16,0,0
1,1,0,0,0
1,1,1,0,0
1,1,2,0,0
1,1,3,0,0
1,1,4,0,0
1,1,5,0,0
1,1,6,0,0
1,1,7,0,0
1,1,8,0,0
1,1,9,0,0
1,1,10,0,0
1,1,11,0,0
1,1,12,0,0
1,1,13,0,0
1,1,14,0,0
1,1,15,0,0
1,1,16,0,0
1,2,0,251.67315673828125,58.10101318359375
1,2,1,251.88235473632812,57.33411407470703
1,2,2,251.91278076171875,57.25149154663086
1,2,3,250.17726135253906,57.71685791015625
1,2,4,252.23822021484375,57.754512786865234
1,2,5,249.17579650878906,62.537353515625
1,2,6,251.00625610351562,63.04015350341797
1,2,7,247.5233917236328,69.28459167480469
1,2,8,247.65896606445312,70.0108871459961
1,2,9,249.40972900390625,74.37092590332031
1,2,10,246.330810546875,75.92286682128906
1,2,11,249.00634765625,76.04415893554688
1,2,12,250.21307373046875,76.23489379882812
1,2,13,250.38873291015625,85.55146789550781
1,2,14,249.90074157714844,85.63816833496094
1,2,15,251.5304412841797,95.05221557617188
1,2,16,248.56039428710938,95.50282287597656
1,4,0,268.9085998535156,58.52101516723633
1,4,1,269.95379638671875,57.63565444946289
1,4,2,267.901611328125,57.55568313598633
1,4,3,271.05657958984375,58.60578536987305
1,4,4,266.11053466796875,58.40703582763672
1,4,5,272.4612731933594,64.51828002929688
1,4,6,263.4750061035156,64.63168334960938
1,4,7,274.617919921875,68.55046081542969
1,4,8,261.0321044921875,71.03588104248047
1,4,9,274.23431396484375,67.83438110351562
1,4,10,261.81353759765625,75.3038330078125
1,4,11,271.298095703125,81.13874816894531
1,4,12,265.06195068359375,81.23055267333984
1,4,13,273.0294189453125,92.81333923339844
1,4,14,264.2892150878906,92.89605712890625
1,4,15,274.7181091308594,102.87309265136719
1,4,16,264.4729919433594,103.44493865966797
2,1,0,0,0
2,1,1,0,0
2,1,2,0,0
2,1,3,0,0
2,1,4,0,0
2,1,5,0,0
2,1,6,0,0
2,1,7,0,0
2,1,8,0,0
2,1,9,0,0
2,1,10,0,0
2,1,11,0,0
2,1,12,0,0
2,1,13,0,0
2,1,14,0,0
2,1,15,0,0
2,1,16,0,0
2,4,0,268.79547119140625,59.266319274902344
2,4,1,269.776611328125,58.42616271972656
2,4,2,267.7488708496094,58.43785858154297
2,4,3,271.1498107910156,59.21229934692383
2,4,4,266.291259765625,59.28424835205078
