player_id,dribbling_stance,avg_speed,lateral_moves,fatigue_slope,balance_std,balance_max,dribble_std,dribble_changes,crossover_efficiency,dir_smooth_mean,dir_smooth_std,closeout_stance,lateral_quickness
1,0.21378097534179688,64.16389304938362,2,-0.2471581198952414,118.75000802867598,285.6354716056888,24.79362716674805,0.2222222222222222,0.0,0.0,24.59065823716956,98.80273053626169,60.85924614800347
2,0.7844278999928678,76.19734799035476,41,0.09541512134881337,137.42911115766375,408.0615171207259,44.5591957609561,0.3389830508474576,0.16292134831460675,-0.023599300771756596,27.702611714765794,109.40720449796821,70.5559419103935
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
4,2.7528716325759888,131.39689868513486,14,-0.9372398853301998,139.5584186114379,285.5618130156161,38.968258365287824,0.6451612903225806,0.375,0.0,39.29520675263799,124.18753662467813,122.24007686491936
5,1.5584131876627605,116.92732905495723,9,0.15518466544238652,188.54561885508315,464.30431970557345,49.859810506585326,0.46153846153846156,0.25925925925925924,-3.5006163485925423,44.830189218059395,114.27951696301069,111.42016073373648
6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,90.0,0.0
7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
9,3.0531165228949653,38.374351078526765,20,-0.4148896615152065,51.57829656565773,150.03685255337479,52.91390699086662,0.9662921348314607,0.35555555555555557,-0.19112718878501314,42.26834053362882,162.61388534463603,6.116401715225049
12,1.7747374943324499,177.51182954074417,5,-1.0533003083952193,222.24351039463318,474.20442050842763,42.59370781759662,0.38461538461538464,0.07142857142857142,-6.0629385694807825,32.231615559675014,108.19723494166628,170.79549349271335
15,1.1240414917924022,100.96483692959421,36,0.07582243527018533,158.11084750475447,382.39019267343724,50.671565055985155,0.3923076923076923,0.1984732824427481,0.0,29.921388732790582,108.04651013260442,93.30316608135517
16,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
20,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,90.0,0.0
22,1.6283876755658317,77.57405721053573,7,1.1170571458105947,87.33044860528298,198.91849142242233,53.38162149597106,0.5,0.35294117647058826,1.392413070703616,24.888139742588283,111.83653404636864,55.00988292694092
23,0.0,nan,0,0,nan,"(0, 0)",0.0,"(0, 0)",0.0,0,0,90.0,0
25,-0.00063323974609375,42.0057535921253,2,-0.03436071222478689,79.71390327800667,191.73993108990246,46.35566711425781,0.2222222222222222,0.0,0.0,12.513795055965574,83.57556098731415,25.414472791883682
24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
27,2.6915181322795587,91.48427928308034,78,-0.19472052214666602,98.86312593285022,243.66089186900814,68.23094894664372,0.7852760736196319,0.43902439024390244,7.01770603219852e-16,38.71244398398628,128.4452259082185,60.83881991333757
29,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
35,0.5708950841149618,66.19273490754469,10,-0.0009313806310877285,112.51155567903665,294.49853866030406,48.453177650462116,0.3333333333333333,0.046511627906976744,0.0,27.11043683199231,107.97429756206238,57.37362416585287
36,4.833075114658901,76.01170334308189,12,0.541351296435828,77.17358423675829,170.66809463332226,56.35104227496856,0.8148148148148148,0.35714285714285715,-1.8755832233506131,30.456831733768656,137.24272681156657,44.03437960589373
38,0.4705701974722055,107.59623809860281,6,-0.006997070312499902,187.72632364457917,440.8929319089099,37.879549717649176,0.28,0.15384615384615385,0.0,25.48695254877257,102.09809657247091,102.978583984375
40,5.895852406819661,170.0529967629045,26,0.149023433040694,224.85219753431534,490.6592423862179,65.48510907773496,0.8307692307692308,0.2727272727272727,0.0,36.971188528459905,140.55997023746744,156.5607628455529
41,0.4603503612761802,39.630403566136906,5,0.21537448431362616,118.93118161935264,464.172172447419,41.56010527881622,0.13043478260869565,0.0851063829787234,0.0,14.939193567168765,95.39912309636922,35.31788237198539
42,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
44,6.572231292724609,7.965261693271335,1,-4.9628143310546875,0.0,5.782440170463813,1.0510711669921875,1.0,0.0,nan,0.0,150.65102639838577,5.095420837402344
46,0.40080989490855823,46.50106029713158,13,-1.0967557556281367,63.98827123161617,170.217407858179,70.91210195461794,0.627906976744186,0.22727272727272727,-3.383536836952858e-16,37.596590445010435,130.5364743325307,19.130759394446084
50,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
51,0.18702098301478795,36.8921170349612,2,1.4464866386665096,79.8656517955447,221.35638427523236,35.02206212606054,0.15384615384615385,0.0,4.832157275914341,15.451461991471865,94.15630892423435,27.98964632474459
54,5.5503375301913325,75.89536547582044,142,0.15534919200083633,137.40728138273514,433.7161834604831,74.49634396981004,0.7477678571428571,0.24276169265033407,-0.15110265065405257,44.54025072015483,135.37424529178884,63.42189201286861
55,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
56,1.622755141485305,96.8473811380767,24,0.22159703710343026,147.65168653951304,364.75576150363264,49.974287581597196,0.39759036144578314,0.14285714285714285,3.4660621256590254e-16,30.152007004694347,109.42931692507594,87.34014561664627
57,0.0,nan,0,0,nan,"(0, 0)",0.0,"(0, 0)",0.0,0,0,90.0,0
65,0.0,nan,0,0,nan,"(0, 0)",0.0,"(0, 0)",0.0,0,0,90.0,0
67,1.7906549998692103,35.06519110594442,6,0.9128132670318485,50.25031176888393,146.37045965478205,50.5975535609307,0.4074074074074074,0.21428571428571427,0.5113431937514713,25.18026339721516,110.59628109368076,10.346679970070168
68,0.2475111825125558,62.8097742192258,2,1.2082696642194477,82.31981945529748,174.6267076886794,39.56676770008368,0.3333333333333333,0.0,0.0,18.136950493309133,102.23272363510931,45.41948954264323
70,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
72,1.3007127544547938,44.906738668426065,35,-0.023251884078735126,78.01080826453199,224.12090319050225,51.02709606671491,0.29936305732484075,0.08860759493670886,1.8219044506669235e-16,23.529458290544188,104.80610501196182,28.539066824943397
73,4.159716033935547,89.63781659357586,15,0.3753946991687552,142.68695617879408,363.5827995776935,56.56665889593883,0.864406779661017,0.26666666666666666,0.11697590014905193,47.539580495117974,147.6836351458409,79.4817347122451
